,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
35,35,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
36,36,3854,628.0,14.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
37,37,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
38,38,4477,718.0,112.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
39,39,2723,452.0,236.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
40,40,3230,749.0,38.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
41,41,2753,840.0,45.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
42,42,4612,829.0,154.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
43,43,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
44,44,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
45,45,1957,479.0,85.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
46,46,3095,437.0,133.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
47,47,3149,554.0,64.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
48,48,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
49,49,1944,557.0,96.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
50,50,2921,545.0,136.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
51,51,2205,394.0,142.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
52,52,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
53,53,2332,407.0,149.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
54,54,3775,792.0,148.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
55,55,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
56,56,1615,356.0,142.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
57,57,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
58,58,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
59,59,2000,383.0,133.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
60,60,2817,674.0,48.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
61,61,3026,419.0,168.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
62,62,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
63,63,3366,883.0,117.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
64,64,2200,489.0,161.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
65,65,4060,900.0,100.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
66,66,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
67,67,1906,504.0,182.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
68,68,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
69,69,3498,811.0,61.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
70,70,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
71,71,1503,404.0,82.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
72,72,2238,677.0,114.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
73,73,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
74,74,2424,608.0,113.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
75,75,3880,625.0,171.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
76,76,4169,534.0,133.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
77,77,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
78,78,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
79,79,3242,716.0,178.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
80,80,2349,474.0,99.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
81,81,2966,453.0,32.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
82,82,4324,493.0,144.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
83,83,2360,528.0,40.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
84,84,3600,371.0,152.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
85,85,2908,635.0,120.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
86,86,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
87,87,3391,595.0,187.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
88,88,3060,824.0,105.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
89,89,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
90,90,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
91,91,3689,818.0,61.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
92,92,3302,312.0,191.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
93,93,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
94,94,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
95,95,2605,369.0,127.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
96,96,2312,493.0,223.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
97,97,4670,801.0,194.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
98,98,1873,486.0,153.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
99,99,3764,883.0,15.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
100,100,3982,710.0,114.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
101,101,1915,607.0,152.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
102,102,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
103,103,4342,398.0,177.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
104,104,3372,626.0,202.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
105,105,4589,525.0,110.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
106,106,4822,830.0,103.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
107,107,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
108,108,4228,906.0,65.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
109,109,4496,669.0,59.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
110,110,5000,,,False,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
111,111,3663,591.0,152.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
112,112,2596,526.0,126.0,True,1000,3,5,<__main__.RandomRegularNetwork object at 0x7f8898116860>,<__main__.PowerVariantExchange object at 0x7f8898115b70>,"[1, 3]"
