,Run,run_length,runner_up_highest,standard_lowest,standard_reached,num_agents,num_edges,num_variants,link_generator,variant_exchange,multiplexity_range
31,31,3089,753.0,213.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
32,32,1615,540.0,68.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
33,33,533,362.0,91.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
34,34,1796,531.0,176.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
35,35,1903,559.0,153.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
36,36,1932,808.0,48.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
37,37,2909,450.0,119.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
38,38,704,411.0,193.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
39,39,1569,710.0,113.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
40,40,958,413.0,185.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
41,41,1778,481.0,149.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
42,42,815,631.0,179.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
43,43,3118,470.0,181.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
44,44,981,614.0,139.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
45,45,658,248.0,205.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
46,46,1471,933.0,67.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
47,47,2605,867.0,133.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
48,48,5000,,,False,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
49,49,794,351.0,168.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
50,50,738,451.0,186.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
51,51,1615,533.0,209.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
52,52,2561,515.0,172.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
53,53,2914,376.0,197.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
54,54,1911,722.0,192.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
55,55,3454,753.0,129.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
56,56,3069,708.0,90.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
57,57,1175,398.0,91.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
58,58,3465,767.0,154.0,True,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
59,59,5000,,,False,1000,1,5,<__main__.HolmeKimNetwork object at 0x7fc1b5762d68>,<__main__.MultiplexPowerVariantExchange object at 0x7fc1b57629b0>,"[1, 3]"
